,Unnamed: 0,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
222,222,222,13,31,0,0,31,41,42,1
223,223,223,3,29,0,0,15,42,42,1
224,224,224,0,0,0,0,9,42,42,1
225,225,225,9,14,0,0,14,41,42,1
226,226,226,14,0,0,0,33,42,41,1
227,227,227,11,33,2,41,14,42,42,1
228,228,228,8,26,2,21,4,41,42,1
229,229,229,14,14,0,0,8,42,41,1
230,230,230,8,4,0,0,4,41,42,1
231,231,231,4,4,0,0,4,41,42,1
232,232,232,2,2,1,0,4,41,42,1
233,233,233,1,2,0,0,2,40,42,1
234,234,234,14,14,0,0,8,42,41,1
235,235,235,8,16,0,0,16,40,42,1
236,236,236,3,26,2,26,17,40,42,1
237,237,237,3,24,0,0,9,42,42,1
238,238,238,4,6,1,0,3,41,42,1
239,239,239,3,2,1,0,30,40,42,1
240,240,240,4,14,0,0,14,41,42,1
241,241,241,0,1,1,0,18,41,42,1
242,242,242,9,1,0,0,1,41,42,1
243,243,243,12,18,2,1,22,42,42,1
244,244,244,14,20,0,0,14,42,42,1
245,245,245,0,5,0,0,5,39,42,1
246,246,246,13,17,0,0,17,41,42,1
247,247,247,10,17,0,0,17,41,42,1
248,248,248,5,4,1,0,15,39,42,1
249,249,249,14,14,0,0,21,42,41,1
250,250,250,2,1,0,0,1,40,42,1
251,251,251,1,14,0,0,14,38,42,1
252,252,252,14,8,0,0,8,40,42,1
253,253,253,0,0,1,0,22,39,42,1
254,254,254,14,0,0,0,0,41,42,1
255,255,255,11,18,2,1,24,42,42,1
256,256,256,7,4,1,0,4,42,42,1
257,257,257,13,33,2,11,0,42,42,1
258,258,258,12,3,0,0,3,39,42,1
259,259,259,12,15,0,0,15,42,42,1
260,260,260,1,4,1,0,1,41,42,1
261,261,261,2,26,2,26,8,40,42,1
262,262,262,0,0,1,0,9,41,42,1
263,263,263,14,14,0,0,14,42,42,1
264,264,264,0,21,1,0,3,41,42,1
265,265,265,0,15,1,0,2,40,42,1
266,266,266,14,14,0,0,17,42,41,1
267,267,267,0,3,0,0,3,41,42,1
268,268,268,14,14,0,0,8,42,41,1
269,269,269,12,13,0,0,13,41,42,1
270,270,270,0,1,1,0,13,39,42,1
271,271,271,3,24,0,0,20,42,42,1
272,272,272,9,3,0,0,3,41,42,1
273,273,273,7,4,1,0,4,42,42,1
274,274,274,3,29,0,0,29,39,42,1
275,275,275,3,20,0,0,9,42,42,1
276,276,276,9,26,0,0,26,40,42,1
277,277,277,3,29,0,0,9,42,42,1
278,278,278,10,16,0,0,16,41,42,1
279,279,279,0,2,1,0,35,41,42,1
280,280,280,0,4,1,0,4,38,42,1
281,281,281,9,4,1,0,4,42,42,1
282,282,282,3,27,0,0,32,42,42,1
283,283,283,9,1,0,0,1,41,42,1
284,284,284,3,24,0,0,7,42,42,1
285,285,285,6,4,1,0,4,41,42,1
286,286,286,1,18,2,13,20,40,42,1
287,287,287,2,7,1,0,33,37,42,1
288,288,288,3,29,0,0,3,42,42,1
289,289,289,3,9,1,0,7,42,42,1
290,290,290,7,4,1,0,1,42,42,1
291,291,291,4,4,1,0,4,38,42,1
292,292,292,8,5,0,0,5,41,42,1
293,293,293,6,11,0,0,11,40,42,1
